,Site,Date,Hour Block,ED Env Prediction
50,A,2025-03-27 12:00:00,2,41.83434231746828
51,B,2025-03-27 12:00:00,2,56.96098907520655
52,C,2025-03-27 12:00:00,2,33.57977835752442
53,D,2025-03-27 12:00:00,2,25.228447035088948
54,Total,2025-03-27 12:00:00,2,155.85566605994492
55,A,2025-03-27 18:00:00,3,38.26827441042471
56,B,2025-03-27 18:00:00,3,54.26886951997467
57,C,2025-03-27 18:00:00,3,30.42048042216851
58,D,2025-03-27 18:00:00,3,22.500377854551445
59,Total,2025-03-27 18:00:00,3,143.73903766647618
60,A,2025-03-28 00:00:00,0,15.241574609471968
61,B,2025-03-28 00:00:00,0,22.408004604525114
62,C,2025-03-28 00:00:00,0,13.215338480596238
63,D,2025-03-28 00:00:00,0,8.436842415615004
64,Total,2025-03-28 00:00:00,0,58.54274004656134
65,A,2025-03-28 06:00:00,1,28.500313290783286
66,B,2025-03-28 06:00:00,1,39.55476065411686
67,C,2025-03-28 06:00:00,1,23.573126650948595
68,D,2025-03-28 06:00:00,1,18.027222190230603
69,Total,2025-03-28 06:00:00,1,108.61191231304554
70,A,2025-03-28 12:00:00,2,43.22750383380125
71,B,2025-03-28 12:00:00,2,57.045722340094834
72,C,2025-03-28 12:00:00,2,34.376161815242774
73,D,2025-03-28 12:00:00,2,26.022073919819046
74,Total,2025-03-28 12:00:00,2,158.9771361120444
75,A,2025-03-28 18:00:00,3,39.72373757429609
76,B,2025-03-28 18:00:00,3,55.38912661628955
77,C,2025-03-28 18:00:00,3,32.03492380325704
78,D,2025-03-28 18:00:00,3,22.897772506307593
79,Total,2025-03-28 18:00:00,3,148.5743132811482
80,A,2025-03-29 00:00:00,0,16.566562506925795
81,B,2025-03-29 00:00:00,0,24.012153909820316
82,C,2025-03-29 00:00:00,0,13.97278813259261
83,D,2025-03-29 00:00:00,0,9.003427118284732
84,Total,2025-03-29 00:00:00,0,62.913773844078804
85,A,2025-03-29 06:00:00,1,27.24388791717332
86,B,2025-03-29 06:00:00,1,38.17954442214067
87,C,2025-03-29 06:00:00,1,22.097590942434604
88,D,2025-03-29 06:00:00,1,17.06564052654184
89,Total,2025-03-29 06:00:00,1,103.63758739642235
90,A,2025-03-29 12:00:00,2,41.85679138725993
91,B,2025-03-29 12:00:00,2,57.72602982353812
92,C,2025-03-29 12:00:00,2,33.96812345578752
93,D,2025-03-29 12:00:00,2,26.471200787567323
94,Total,2025-03-29 12:00:00,2,158.28409498850453
95,A,2025-03-29 18:00:00,3,39.774150302036624
96,B,2025-03-29 18:00:00,3,58.965151626865335
97,C,2025-03-29 18:00:00,3,33.07332155186934
98,D,2025-03-29 18:00:00,3,23.579287259280182
99,Total,2025-03-29 18:00:00,3,153.7657635026578
100,A,2025-03-30 00:00:00,0,17.1057803749439
101,B,2025-03-30 00:00:00,0,24.378962408659124
102,C,2025-03-30 00:00:00,0,14.300441707555194
103,D,2025-03-30 00:00:00,0,9.631099804952616
104,Total,2025-03-30 00:00:00,0,64.54851470874812
105,A,2025-03-30 06:00:00,1,28.74541292741106
106,B,2025-03-30 06:00:00,1,40.50017759040773
107,C,2025-03-30 06:00:00,1,22.819833620641937
108,D,2025-03-30 06:00:00,1,17.179129175201922
109,Total,2025-03-30 06:00:00,1,107.88664550290405
110,A,2025-03-30 12:00:00,2,42.853330817140865
111,B,2025-03-30 12:00:00,2,59.37478053369672
112,C,2025-03-30 12:00:00,2,35.028679080125364
113,D,2025-03-30 12:00:00,2,25.826224310457114
114,Total,2025-03-30 12:00:00,2,161.23180392652733
115,A,2025-03-30 18:00:00,3,39.67880026654994
116,B,2025-03-30 18:00:00,3,58.56066334232418
117,C,2025-03-30 18:00:00,3,33.00746899361847
118,D,2025-03-30 18:00:00,3,23.516844320131675
119,Total,2025-03-30 18:00:00,3,153.2461386306513
120,A,2025-03-31 00:00:00,0,15.46634437202216
121,B,2025-03-31 00:00:00,0,22.577988639682573
122,C,2025-03-31 00:00:00,0,13.454797209396672
123,D,2025-03-31 00:00:00,0,8.289398354538513
124,Total,2025-03-31 00:00:00,0,58.774770138229
125,A,2025-03-31 06:00:00,1,31.745646412933123
126,B,2025-03-31 06:00:00,1,43.54070218142901
127,C,2025-03-31 06:00:00,1,25.489553605993645
128,D,2025-03-31 06:00:00,1,19.01156936304516
129,Total,2025-03-31 06:00:00,1,118.3804013475363
130,A,2025-03-31 12:00:00,2,46.36985240863857
131,B,2025-03-31 12:00:00,2,61.631793876383654
132,C,2025-03-31 12:00:00,2,36.937049986654316
133,D,2025-03-31 12:00:00,2,27.736800661397485
134,Total,2025-03-31 12:00:00,2,170.7604549953017
135,A,2025-03-31 18:00:00,3,40.265739001214946
136,B,2025-03-31 18:00:00,3,56.294454726401646
137,C,2025-03-31 18:00:00,3,31.875534524954404
138,D,2025-03-31 18:00:00,3,23.625317698167475
139,Total,2025-03-31 18:00:00,3,150.25984943369826
140,A,2025-04-01 00:00:00,0,15.098409588323623
141,B,2025-04-01 00:00:00,0,21.816176493423384
142,C,2025-04-01 00:00:00,0,12.691479973378167
143,D,2025-04-01 00:00:00,0,8.205977099248512
144,Total,2025-04-01 00:00:00,0,57.98989012182026
145,A,2025-04-01 06:00:00,1,29.502749176143436
146,B,2025-04-01 06:00:00,1,41.259609697359615
147,C,2025-04-01 06:00:00,1,24.08442144994917
148,D,2025-04-01 06:00:00,1,17.63379379980644
149,Total,2025-04-01 06:00:00,1,113.20240880043553
150,A,2025-04-01 12:00:00,2,44.16735467823941
151,B,2025-04-01 12:00:00,2,58.855999497018125
152,C,2025-04-01 12:00:00,2,35.458284435375155
153,D,2025-04-01 12:00:00,2,26.640278290845167
154,Total,2025-04-01 12:00:00,2,166.2632232291528
155,A,2025-04-01 18:00:00,3,39.31218936015606
156,B,2025-04-01 18:00:00,3,55.76088529250182
157,C,2025-04-01 18:00:00,3,31.742453171000545
158,D,2025-04-01 18:00:00,3,23.142595512259653
159,Total,2025-04-01 18:00:00,3,151.12560200760154
160,A,2025-04-02 00:00:00,0,15.044989464444352
161,B,2025-04-02 00:00:00,0,21.895720635338662
162,C,2025-04-02 00:00:00,0,12.661512660975946
163,D,2025-04-02 00:00:00,0,8.252576701415808
164,Total,2025-04-02 00:00:00,0,58.0923937637686
165,A,2025-04-02 06:00:00,1,29.22474887580521
166,B,2025-04-02 06:00:00,1,40.0399295624784
167,C,2025-04-02 06:00:00,1,23.19397814804556
168,D,2025-04-02 06:00:00,1,17.267586501993833
169,Total,2025-04-02 06:00:00,1,110.47576982432292
170,A,2025-04-02 12:00:00,2,42.694969540922614
171,B,2025-04-02 12:00:00,2,57.180458742538576
172,C,2025-04-02 12:00:00,2,34.0413387934975
173,D,2025-04-02 12:00:00,2,26.13595507815394
174,Total,2025-04-02 12:00:00,2,161.20226732266133
175,A,2025-04-02 18:00:00,3,38.758619715859815
176,B,2025-04-02 18:00:00,3,55.217803551101696
177,C,2025-04-02 18:00:00,3,30.704960834782547
178,D,2025-04-02 18:00:00,3,22.89974581704907
179,Total,2025-04-02 18:00:00,3,148.8280521656659
180,A,2025-04-03 00:00:00,0,14.89297255610005
181,B,2025-04-03 00:00:00,0,21.26434658106312
182,C,2025-04-03 00:00:00,0,12.505230839073585
183,D,2025-04-03 00:00:00,0,8.05064985963286
184,Total,2025-04-03 00:00:00,0,57.07976770232536
185,A,2025-04-03 06:00:00,1,29.253340958321168
186,B,2025-04-03 06:00:00,1,39.99924175150285
187,C,2025-04-03 06:00:00,1,23.174773879763926
188,D,2025-04-03 06:00:00,1,16.972174717015218
189,Total,2025-04-03 06:00:00,1,110.46179333865427
190,A,2025-04-03 12:00:00,2,42.36252315964506
191,B,2025-04-03 12:00:00,2,56.863681549963246
192,C,2025-04-03 12:00:00,2,34.021091354777035
193,D,2025-04-03 12:00:00,2,25.278578963609675
194,Total,2025-04-03 12:00:00,2,159.92897485598152
195,A,2025-04-03 18:00:00,3,38.18031887119292
196,B,2025-04-03 18:00:00,3,54.10943330908281
197,C,2025-04-03 18:00:00,3,30.283966139269552
198,D,2025-04-03 18:00:00,3,22.674650907717773
199,Total,2025-04-03 18:00:00,3,146.49106587179122
200,A,2025-04-04 00:00:00,0,14.474320192518125
201,B,2025-04-04 00:00:00,0,21.922622860397304
202,C,2025-04-04 00:00:00,0,12.55801797337141
203,D,2025-04-04 00:00:00,0,8.035979394905903
204,Total,2025-04-04 00:00:00,0,57.38996599841146
205,A,2025-04-04 06:00:00,1,28.8728559926328
206,B,2025-04-04 06:00:00,1,39.008229935724934
207,C,2025-04-04 06:00:00,1,23.40466853269323
208,D,2025-04-04 06:00:00,1,17.747068755872803
209,Total,2025-04-04 06:00:00,1,110.17178711867984
210,A,2025-04-04 12:00:00,2,43.25047228566818
211,B,2025-04-04 12:00:00,2,57.18133372118251
212,C,2025-04-04 12:00:00,2,34.67799221504929
213,D,2025-04-04 12:00:00,2,26.022682748110224
214,Total,2025-04-04 12:00:00,2,162.70061667356964
215,A,2025-04-04 18:00:00,3,39.57506316320341
216,B,2025-04-04 18:00:00,3,55.03366834556618
217,C,2025-04-04 18:00:00,3,31.62164823841485
218,D,2025-04-04 18:00:00,3,22.749086566572092
219,Total,2025-04-04 18:00:00,3,150.44916627825071
220,A,2025-04-05 00:00:00,0,16.557342161462024
221,B,2025-04-05 00:00:00,0,24.030203222424944
222,C,2025-04-05 00:00:00,0,13.638408813106757
223,D,2025-04-05 00:00:00,0,8.926906971482685
224,Total,2025-04-05 00:00:00,0,63.880423375702804
225,A,2025-04-05 06:00:00,1,27.121645380603894
226,B,2025-04-05 06:00:00,1,37.93825138240455
227,C,2025-04-05 06:00:00,1,21.84124357191259
228,D,2025-04-05 06:00:00,1,16.702397490881857
229,Total,2025-04-05 06:00:00,1,104.76724189223617
230,A,2025-04-05 12:00:00,2,42.225249831556944
231,B,2025-04-05 12:00:00,2,57.510231769239454
232,C,2025-04-05 12:00:00,2,34.165600806990035
233,D,2025-04-05 12:00:00,2,26.240284141113445
234,Total,2025-04-05 12:00:00,2,161.85342519288875
235,A,2025-04-05 18:00:00,3,39.87466048648242
236,B,2025-04-05 18:00:00,3,58.77433978559022
237,C,2025-04-05 18:00:00,3,33.144999958814665
238,D,2025-04-05 18:00:00,3,23.660135884059073
239,Total,2025-04-05 18:00:00,3,157.22432479020287
240,A,2025-04-06 00:00:00,0,17.276703019723058
241,B,2025-04-06 00:00:00,0,24.623288068652503
242,C,2025-04-06 00:00:00,0,14.03297273114304
243,D,2025-04-06 00:00:00,0,9.36141600902914
244,Total,2025-04-06 00:00:00,0,65.99378060289959
245,A,2025-04-06 06:00:00,1,28.997261739157626
246,B,2025-04-06 06:00:00,1,40.46540024866387
247,C,2025-04-06 06:00:00,1,23.07448870752246
248,D,2025-04-06 06:00:00,1,17.238188624800856
249,Total,2025-04-06 06:00:00,1,110.97598817353689
250,A,2025-04-06 12:00:00,2,43.141446312392226
251,B,2025-04-06 12:00:00,2,59.51387284041041
252,C,2025-04-06 12:00:00,2,35.24980727885718
253,D,2025-04-06 12:00:00,2,26.046920452863294
254,Total,2025-04-06 12:00:00,2,165.89077076433446
255,A,2025-04-06 18:00:00,3,39.652356383811934
256,B,2025-04-06 18:00:00,3,58.27042473469665
257,C,2025-04-06 18:00:00,3,32.91899389055356
258,D,2025-04-06 18:00:00,3,23.138998768366594
259,Total,2025-04-06 18:00:00,3,155.85111485991249
260,A,2025-04-07 00:00:00,0,16.116736355599233
261,B,2025-04-07 00:00:00,0,22.59484497686244
262,C,2025-04-07 00:00:00,0,13.655747042995966
263,D,2025-04-07 00:00:00,0,8.554016235925715
264,Total,2025-04-07 00:00:00,0,61.50118238661838
265,A,2025-04-07 06:00:00,1,31.959829621754295
266,B,2025-04-07 06:00:00,1,43.98813402932395
267,C,2025-04-07 06:00:00,1,25.649853894467082
268,D,2025-04-07 06:00:00,1,18.787463605216043
269,Total,2025-04-07 06:00:00,1,122.06109818824788
270,A,2025-04-07 12:00:00,2,47.09680079113154
271,B,2025-04-07 12:00:00,2,62.10913479041392
272,C,2025-04-07 12:00:00,2,37.5573714004016
273,D,2025-04-07 12:00:00,2,28.024551713296688
274,Total,2025-04-07 12:00:00,2,177.35349989595687
275,A,2025-04-07 18:00:00,3,40.55037705545693
276,B,2025-04-07 18:00:00,3,56.35408500481047
277,C,2025-04-07 18:00:00,3,32.03355542062875
278,D,2025-04-07 18:00:00,3,23.77522669391858
279,Total,2025-04-07 18:00:00,3,154.5577212412508
280,A,2025-04-08 00:00:00,0,14.677407657841238
281,B,2025-04-08 00:00:00,0,20.993947469983123
282,C,2025-04-08 00:00:00,0,12.566136331438141
283,D,2025-04-08 00:00:00,0,7.8426666157863965
284,Total,2025-04-08 00:00:00,0,56.70718839074633
285,A,2025-04-08 06:00:00,1,29.58442145538992
286,B,2025-04-08 06:00:00,1,40.52458301032924
287,C,2025-04-08 06:00:00,1,23.950076459911372
288,D,2025-04-08 06:00:00,1,17.534455169292105
289,Total,2025-04-08 06:00:00,1,113.18018948342662
290,A,2025-04-08 12:00:00,2,43.701032785562255
291,B,2025-04-08 12:00:00,2,58.6353078179114
292,C,2025-04-08 12:00:00,2,35.21995479100626
293,D,2025-04-08 12:00:00,2,26.24736756239088
294,Total,2025-04-08 12:00:00,2,166.077700255452
295,A,2025-04-08 18:00:00,3,38.94371040459501
296,B,2025-04-08 18:00:00,3,54.851026996460355
297,C,2025-04-08 18:00:00,3,31.219063709036433
298,D,2025-04-08 18:00:00,3,22.825125139434927
299,Total,2025-04-08 18:00:00,3,149.91017880475135
300,A,2025-04-09 00:00:00,0,14.501552101394669
301,B,2025-04-09 00:00:00,0,21.32522413883219
302,C,2025-04-09 00:00:00,0,12.57248688248916
303,D,2025-04-09 00:00:00,0,7.945496157030514
304,Total,2025-04-09 00:00:00,0,56.870264394575536
305,A,2025-04-09 06:00:00,1,28.821041581344158
306,B,2025-04-09 06:00:00,1,39.32383039937136
307,C,2025-04-09 06:00:00,1,22.9694532223307
308,D,2025-04-09 06:00:00,1,16.96925505538529
309,Total,2025-04-09 06:00:00,1,109.54153623943907
310,A,2025-04-09 12:00:00,2,42.779025944168296
311,B,2025-04-09 12:00:00,2,56.747511696446
312,C,2025-04-09 12:00:00,2,34.06892915920876
313,D,2025-04-09 12:00:00,2,25.92077598504573
314,Total,2025-04-09 12:00:00,2,161.83737117688995
315,A,2025-04-09 18:00:00,3,38.44130251715351
316,B,2025-04-09 18:00:00,3,54.81020412226452
317,C,2025-04-09 18:00:00,3,30.489289577405476
318,D,2025-04-09 18:00:00,3,22.879993442291546
319,Total,2025-04-09 18:00:00,3,148.8269410674186
320,A,2025-04-10 00:00:00,0,14.564380765735965
321,B,2025-04-10 00:00:00,0,20.632436430827028
322,C,2025-04-10 00:00:00,0,11.968134645686458
323,D,2025-04-10 00:00:00,0,7.585993790369424
324,Total,2025-04-10 00:00:00,0,55.336268067136835
325,A,2025-04-10 06:00:00,1,29.039615194431132
326,B,2025-04-10 06:00:00,1,39.51742208838274
327,C,2025-04-10 06:00:00,1,23.180032686460603
328,D,2025-04-10 06:00:00,1,16.97595043501703
329,Total,2025-04-10 06:00:00,1,110.45546012238083
330,A,2025-04-10 12:00:00,2,42.166979412964984
331,B,2025-04-10 12:00:00,2,56.24988947158682
332,C,2025-04-10 12:00:00,2,33.66916826598514
333,D,2025-04-10 12:00:00,2,25.033687614845487
334,Total,2025-04-10 12:00:00,2,159.41932593249857
335,A,2025-04-10 18:00:00,3,37.91253620227196
336,B,2025-04-10 18:00:00,3,53.692599062003964
337,C,2025-04-10 18:00:00,3,30.00642062067032
338,D,2025-04-10 18:00:00,3,22.246498126440763
339,Total,2025-04-10 18:00:00,3,145.8348125284758
340,A,2025-04-11 00:00:00,0,14.531083189388
341,B,2025-04-11 00:00:00,0,21.505755337727187
342,C,2025-04-11 00:00:00,0,12.339003385982396
343,D,2025-04-11 00:00:00,0,8.27553003542345
344,Total,2025-04-11 00:00:00,0,57.18821710113715
345,A,2025-04-11 06:00:00,1,28.52274866376085
346,B,2025-04-11 06:00:00,1,38.773838543614126
347,C,2025-04-11 06:00:00,1,23.08935419058924
348,D,2025-04-11 06:00:00,1,17.27710677126499
349,Total,2025-04-11 06:00:00,1,109.39726072561244
350,A,2025-04-11 12:00:00,2,43.201543498433985
351,B,2025-04-11 12:00:00,2,56.4923129390377
352,C,2025-04-11 12:00:00,2,34.51629950623608
353,D,2025-04-11 12:00:00,2,26.123767254794537
354,Total,2025-04-11 12:00:00,2,162.68714151147793
355,A,2025-04-11 18:00:00,3,39.230427282375004
356,B,2025-04-11 18:00:00,3,54.5981321828108
357,C,2025-04-11 18:00:00,3,31.19599274927448
358,D,2025-04-11 18:00:00,3,22.442320481705526
359,Total,2025-04-11 18:00:00,3,149.58996738757463
360,A,2025-04-12 00:00:00,0,16.36866942332494
361,B,2025-04-12 00:00:00,0,23.963238807781128
362,C,2025-04-12 00:00:00,0,13.342054288112665
363,D,2025-04-12 00:00:00,0,8.732438001690621
364,Total,2025-04-12 00:00:00,0,63.30820849137259
365,A,2025-04-12 06:00:00,1,27.487228488375468
366,B,2025-04-12 06:00:00,1,37.65461056142359
367,C,2025-04-12 06:00:00,1,21.586473974792984
368,D,2025-04-12 06:00:00,1,16.584628348248547
369,Total,2025-04-12 06:00:00,1,104.87998143926974
370,A,2025-04-12 12:00:00,2,41.69238257692668
371,B,2025-04-12 12:00:00,2,57.67142208630499
372,C,2025-04-12 12:00:00,2,33.88719244963945
373,D,2025-04-12 12:00:00,2,25.824535441176906
374,Total,2025-04-12 12:00:00,2,161.2994618955007
375,A,2025-04-12 18:00:00,3,39.752023525774256
376,B,2025-04-12 18:00:00,3,58.022723905684046
377,C,2025-04-12 18:00:00,3,32.785368251693505
378,D,2025-04-12 18:00:00,3,23.587430660351014
379,Total,2025-04-12 18:00:00,3,156.45763424816806
380,A,2025-04-13 00:00:00,0,16.992458545664974
381,B,2025-04-13 00:00:00,0,24.75129725141062
382,C,2025-04-13 00:00:00,0,13.858622713385698
383,D,2025-04-13 00:00:00,0,9.142861424880309
384,Total,2025-04-13 00:00:00,0,65.57214708395401
385,A,2025-04-13 06:00:00,1,28.81528224868183
386,B,2025-04-13 06:00:00,1,40.057024548693065
387,C,2025-04-13 06:00:00,1,22.56013408606015
388,D,2025-04-13 06:00:00,1,16.888839006656173
389,Total,2025-04-13 06:00:00,1,109.76447968374988
390,A,2025-04-13 12:00:00,2,43.10998849013673
391,B,2025-04-13 12:00:00,2,59.56701772144827
392,C,2025-04-13 12:00:00,2,35.0160926255947
393,D,2025-04-13 12:00:00,2,25.828391043118252
394,Total,2025-04-13 12:00:00,2,165.91640993344578
395,A,2025-04-13 18:00:00,3,39.27930056018841
396,B,2025-04-13 18:00:00,3,58.11114177541858
397,C,2025-04-13 18:00:00,3,32.585482343041626
398,D,2025-04-13 18:00:00,3,23.057763493765762
399,Total,2025-04-13 18:00:00,3,155.29587826983928
400,A,2025-04-14 00:00:00,0,16.032968791026523
401,B,2025-04-14 00:00:00,0,22.14776314489802
402,C,2025-04-14 00:00:00,0,13.26052576426683
403,D,2025-04-14 00:00:00,0,7.943388676715511
404,Total,2025-04-14 00:00:00,0,60.057535245135746
405,A,2025-04-14 06:00:00,1,31.682444263688
406,B,2025-04-14 06:00:00,1,43.69104128021386
407,C,2025-04-14 06:00:00,1,25.590799043054542
408,D,2025-04-14 06:00:00,1,18.64840693970434
409,Total,2025-04-14 06:00:00,1,121.4916517655948
410,A,2025-04-14 12:00:00,2,46.91946685717644
411,B,2025-04-14 12:00:00,2,61.88011908231528
412,C,2025-04-14 12:00:00,2,37.140441559536995
413,D,2025-04-14 12:00:00,2,27.703065147891785
414,Total,2025-04-14 12:00:00,2,176.3678329765695
415,A,2025-04-14 18:00:00,3,40.556156941265534
416,B,2025-04-14 18:00:00,3,56.54126225609577
417,C,2025-04-14 18:00:00,3,31.94098342579626
418,D,2025-04-14 18:00:00,3,23.683059367242294
419,Total,2025-04-14 18:00:00,3,154.88706759993562
420,A,2025-04-15 00:00:00,0,14.662833206355561
421,B,2025-04-15 00:00:00,0,20.568863858929458
422,C,2025-04-15 00:00:00,0,12.341685955906046
423,D,2025-04-15 00:00:00,0,7.806761786605254
424,Total,2025-04-15 00:00:00,0,56.099383659964964
425,A,2025-04-15 06:00:00,1,29.077218197028806
426,B,2025-04-15 06:00:00,1,40.02595481247721
427,C,2025-04-15 06:00:00,1,23.668156777367045
428,D,2025-04-15 06:00:00,1,16.929238662773123
429,Total,2025-04-15 06:00:00,1,111.53053448796982
430,A,2025-04-15 12:00:00,2,43.76278046017511
431,B,2025-04-15 12:00:00,2,58.23120626672798
432,C,2025-04-15 12:00:00,2,35.279993025268155
433,D,2025-04-15 12:00:00,2,26.44958660814145
434,Total,2025-04-15 12:00:00,2,166.228310040427
435,A,2025-04-15 18:00:00,3,38.89899454578244
436,B,2025-04-15 18:00:00,3,55.07690778623693
437,C,2025-04-15 18:00:00,3,31.04130753949309
438,D,2025-04-15 18:00:00,3,22.452581398516912
439,Total,2025-04-15 18:00:00,3,149.66447316564606
440,A,2025-04-16 00:00:00,0,14.534173855854212
441,B,2025-04-16 00:00:00,0,21.17321060766706
442,C,2025-04-16 00:00:00,0,12.569399539613192
443,D,2025-04-16 00:00:00,0,7.8225726204034975
444,Total,2025-04-16 00:00:00,0,56.79684297903583
445,A,2025-04-16 06:00:00,1,28.511122048132037
446,B,2025-04-16 06:00:00,1,38.65259441521645
447,C,2025-04-16 06:00:00,1,22.844950117632205
448,D,2025-04-16 06:00:00,1,16.839448322211297
449,Total,2025-04-16 06:00:00,1,108.55447111446729
450,A,2025-04-16 12:00:00,2,42.17496215943317
451,B,2025-04-16 12:00:00,2,56.47315939938844
452,C,2025-04-16 12:00:00,2,33.83753657498499
453,D,2025-04-16 12:00:00,2,25.65300872106534
454,Total,2025-04-16 12:00:00,2,160.67136581450194
455,A,2025-04-16 18:00:00,3,38.690827702141185
456,B,2025-04-16 18:00:00,3,54.29274283825022
457,C,2025-04-16 18:00:00,3,30.541906819895008
458,D,2025-04-16 18:00:00,3,22.903505933930695
459,Total,2025-04-16 18:00:00,3,148.80018577705053
460,A,2025-04-17 00:00:00,0,14.469038227918222
461,B,2025-04-17 00:00:00,0,21.083043554854935
462,C,2025-04-17 00:00:00,0,12.08695864925328
463,D,2025-04-17 00:00:00,0,7.455068996354181
464,Total,2025-04-17 00:00:00,0,55.84359105352348
465,A,2025-04-17 06:00:00,1,28.804876731429175
466,B,2025-04-17 06:00:00,1,38.896506889633486
467,C,2025-04-17 06:00:00,1,22.998267069702706
468,D,2025-04-17 06:00:00,1,16.764355702808544
469,Total,2025-04-17 06:00:00,1,109.42978066975574
470,A,2025-04-17 12:00:00,2,42.02531391205247
471,B,2025-04-17 12:00:00,2,55.97901131147739
472,C,2025-04-17 12:00:00,2,33.59479003971338
473,D,2025-04-17 12:00:00,2,24.98172086883752
474,Total,2025-04-17 12:00:00,2,159.1736482637588
475,A,2025-04-17 18:00:00,3,37.76535771371631
476,B,2025-04-17 18:00:00,3,53.375832241347396
477,C,2025-04-17 18:00:00,3,30.0387443002521
478,D,2025-04-17 18:00:00,3,22.165023226738995
479,Total,2025-04-17 18:00:00,3,145.5612445619012
480,A,2025-04-18 00:00:00,0,14.648161769534623
481,B,2025-04-18 00:00:00,0,21.394000441568288
482,C,2025-04-18 00:00:00,0,12.386315809956644
483,D,2025-04-18 00:00:00,0,8.050732168986542
484,Total,2025-04-18 00:00:00,0,57.18601238552975
485,A,2025-04-18 06:00:00,1,28.14923236427021
486,B,2025-04-18 06:00:00,1,38.608609762874714
487,C,2025-04-18 06:00:00,1,22.89880021579044
488,D,2025-04-18 06:00:00,1,17.368447886515657
489,Total,2025-04-18 06:00:00,1,109.02726921166627
490,A,2025-04-18 12:00:00,2,43.08202354542442
491,B,2025-04-18 12:00:00,2,56.32476982975374
492,C,2025-04-18 12:00:00,2,34.20820084840944
493,D,2025-04-18 12:00:00,2,25.878788693909424
494,Total,2025-04-18 12:00:00,2,162.22332665752273
495,A,2025-04-18 18:00:00,3,39.20368614695352
496,B,2025-04-18 18:00:00,3,54.50694456597161
497,C,2025-04-18 18:00:00,3,31.249660535471964
498,D,2025-04-18 18:00:00,3,22.424911024496193
499,Total,2025-04-18 18:00:00,3,149.89399865840812
500,A,2025-04-19 00:00:00,0,16.137894492230952
501,B,2025-04-19 00:00:00,0,23.37884447500697
502,C,2025-04-19 00:00:00,0,13.25548449030139
503,D,2025-04-19 00:00:00,0,8.611906677187422
504,Total,2025-04-19 00:00:00,0,62.41745729162207
505,A,2025-04-19 06:00:00,1,27.200162822029082
506,B,2025-04-19 06:00:00,1,37.504552484012066
507,C,2025-04-19 06:00:00,1,21.28361016853745
508,D,2025-04-19 06:00:00,1,16.202860661899994
509,Total,2025-04-19 06:00:00,1,104.13453674728878
510,A,2025-04-19 12:00:00,2,42.04343223523393
511,B,2025-04-19 12:00:00,2,57.777547594497285
512,C,2025-04-19 12:00:00,2,34.01284210281402
