Date,unique_entry_per_day,total_encounters,total_admissions
2018-01-27 06:00:00,96,107,25
2018-01-27 12:00:00,144,162,36
2018-01-27 18:00:00,148,167,34
2018-01-28 00:00:00,47,49,12
2018-01-28 06:00:00,116,122,37
2018-01-28 12:00:00,132,146,35
2018-01-28 18:00:00,143,162,21
2018-01-29 00:00:00,52,53,15
2018-01-29 06:00:00,88,93,27
2018-01-29 12:00:00,125,139,38
2018-01-29 18:00:00,128,140,33
2018-01-30 00:00:00,47,51,14
2018-01-30 06:00:00,101,107,35
2018-01-30 12:00:00,118,130,36
2018-01-30 18:00:00,139,158,37
2018-01-31 00:00:00,50,52,10
2018-01-31 06:00:00,77,85,30
2018-01-31 12:00:00,134,141,48
2018-01-31 18:00:00,131,139,31
2018-02-01 00:00:00,45,48,15
2018-02-01 06:00:00,83,88,26
2018-02-01 12:00:00,134,143,47
2018-02-01 18:00:00,122,132,38
2018-02-02 00:00:00,54,60,20
2018-02-02 06:00:00,82,89,24
2018-02-02 12:00:00,135,143,41
2018-02-02 18:00:00,100,118,22
2018-02-03 00:00:00,59,62,13
2018-02-03 06:00:00,98,104,20
2018-02-03 12:00:00,146,156,30
2018-02-03 18:00:00,150,163,26
2018-02-04 00:00:00,49,53,12
2018-02-04 06:00:00,87,92,27
2018-02-04 12:00:00,138,153,42
2018-02-04 18:00:00,118,133,22
2018-02-05 00:00:00,55,58,13
2018-02-05 06:00:00,109,114,31
2018-02-05 12:00:00,141,152,49
2018-02-05 18:00:00,143,161,32
2018-02-06 00:00:00,40,40,11
2018-02-06 06:00:00,93,100,33
2018-02-06 12:00:00,120,131,44
2018-02-06 18:00:00,126,137,27
2018-02-07 00:00:00,55,56,15
2018-02-07 06:00:00,85,88,26
2018-02-07 12:00:00,133,147,38
2018-02-07 18:00:00,142,150,28
2018-02-08 00:00:00,40,43,13
2018-02-08 06:00:00,92,99,22
2018-02-08 12:00:00,124,132,39
2018-02-08 18:00:00,127,139,31
2018-02-09 00:00:00,38,40,8
2018-02-09 06:00:00,91,98,27
2018-02-09 12:00:00,144,158,47
2018-02-09 18:00:00,123,136,28
2018-02-10 00:00:00,45,46,14
2018-02-10 06:00:00,84,90,22
2018-02-10 12:00:00,155,169,49
2018-02-10 18:00:00,126,139,32
2018-02-11 00:00:00,60,67,12
2018-02-11 06:00:00,91,98,19
2018-02-11 12:00:00,124,134,35
2018-02-11 18:00:00,152,171,33
2018-02-12 00:00:00,49,53,11
2018-02-12 06:00:00,108,113,40
2018-02-12 12:00:00,127,145,40
2018-02-12 18:00:00,125,138,33
2018-02-13 00:00:00,51,55,11
2018-02-13 06:00:00,85,92,23
2018-02-13 12:00:00,131,150,51
2018-02-13 18:00:00,121,138,31
2018-02-14 00:00:00,58,59,18
2018-02-14 06:00:00,78,83,22
2018-02-14 12:00:00,141,151,58
2018-02-14 18:00:00,123,140,29
2018-02-15 00:00:00,49,53,15
2018-02-15 06:00:00,95,103,25
2018-02-15 12:00:00,138,147,41
2018-02-15 18:00:00,122,135,22
2018-02-16 00:00:00,47,50,13
2018-02-16 06:00:00,74,81,32
2018-02-16 12:00:00,141,157,37
2018-02-16 18:00:00,134,150,37
2018-02-17 00:00:00,61,66,15
2018-02-17 06:00:00,113,119,26
2018-02-17 12:00:00,156,167,45
2018-02-17 18:00:00,141,153,33
2018-02-18 00:00:00,73,76,22
2018-02-18 06:00:00,93,100,19
2018-02-18 12:00:00,121,133,26
2018-02-18 18:00:00,140,160,27
2018-02-19 00:00:00,56,64,18
2018-02-19 06:00:00,90,97,40
2018-02-19 12:00:00,153,173,56
2018-02-19 18:00:00,117,126,30
2018-02-20 00:00:00,43,45,15
2018-02-20 06:00:00,72,75,16
2018-02-20 12:00:00,145,154,45
2018-02-20 18:00:00,118,126,22
2018-02-21 00:00:00,45,47,16
2018-02-21 06:00:00,86,92,22
2018-02-21 12:00:00,123,132,35
2018-02-21 18:00:00,136,146,26
2018-02-22 00:00:00,34,35,8
2018-02-22 06:00:00,81,84,29
2018-02-22 12:00:00,127,135,46
2018-02-22 18:00:00,124,135,21
2018-02-23 00:00:00,42,45,11
2018-02-23 06:00:00,88,95,30
2018-02-23 12:00:00,125,137,36
2018-02-23 18:00:00,119,133,26
2018-02-24 00:00:00,54,55,13
2018-02-24 06:00:00,82,85,21
2018-02-24 12:00:00,130,142,31
2018-02-24 18:00:00,126,134,31
2018-02-25 00:00:00,47,47,10
2018-02-25 06:00:00,101,110,27
2018-02-25 12:00:00,134,146,38
2018-02-25 18:00:00,147,161,33
2018-02-26 00:00:00,56,57,14
2018-02-26 06:00:00,105,115,23
2018-02-26 12:00:00,137,153,47
2018-02-26 18:00:00,122,134,30
2018-02-27 00:00:00,43,45,11
2018-02-27 06:00:00,94,100,29
2018-02-27 12:00:00,113,128,33
2018-02-27 18:00:00,125,136,26
2018-02-28 00:00:00,50,50,14
2018-02-28 06:00:00,89,101,32
2018-02-28 12:00:00,123,136,48
2018-02-28 18:00:00,115,124,23
2018-03-01 00:00:00,53,57,16
2018-03-01 06:00:00,90,99,24
2018-03-01 12:00:00,144,157,47
2018-03-01 18:00:00,113,126,26
2018-03-02 00:00:00,45,48,12
2018-03-02 06:00:00,83,88,22
2018-03-02 12:00:00,119,139,38
2018-03-02 18:00:00,110,121,20
2018-03-03 00:00:00,56,58,5
2018-03-03 06:00:00,88,95,15
2018-03-03 12:00:00,127,136,38
2018-03-03 18:00:00,137,150,34
2018-03-04 00:00:00,59,61,12
2018-03-04 06:00:00,104,119,32
2018-03-04 12:00:00,124,134,37
2018-03-04 18:00:00,131,141,27
2018-03-05 00:00:00,38,42,13
2018-03-05 06:00:00,100,106,24
2018-03-05 12:00:00,123,129,39
2018-03-05 18:00:00,118,129,29
2018-03-06 00:00:00,34,37,10
2018-03-06 06:00:00,86,92,29
2018-03-06 12:00:00,134,155,48
2018-03-06 18:00:00,135,144,29
2018-03-07 00:00:00,48,48,11
2018-03-07 06:00:00,87,89,26
2018-03-07 12:00:00,149,166,52
2018-03-07 18:00:00,113,135,29
2018-03-08 00:00:00,46,50,5
2018-03-08 06:00:00,89,99,34
2018-03-08 12:00:00,112,117,34
2018-03-08 18:00:00,102,115,34
2018-03-09 00:00:00,32,33,5
2018-03-09 06:00:00,81,90,28
2018-03-09 12:00:00,128,140,48
2018-03-09 18:00:00,106,114,31
2018-03-10 00:00:00,45,45,10
2018-03-10 06:00:00,83,93,29
2018-03-10 12:00:00,133,147,38
2018-03-10 18:00:00,125,134,31
2018-03-11 00:00:00,47,52,16
2018-03-11 06:00:00,69,71,20
2018-03-11 12:00:00,150,165,35
2018-03-11 18:00:00,131,141,40
2018-03-12 00:00:00,65,69,21
2018-03-12 06:00:00,83,91,28
2018-03-12 12:00:00,154,167,47
2018-03-12 18:00:00,131,141,31
2018-03-13 00:00:00,51,55,18
2018-03-13 06:00:00,86,93,25
2018-03-13 12:00:00,110,118,40
2018-03-13 18:00:00,129,141,31
2018-03-14 00:00:00,59,61,18
2018-03-14 06:00:00,93,96,29
2018-03-14 12:00:00,147,161,48
2018-03-14 18:00:00,137,145,23
2018-03-15 00:00:00,38,38,11
2018-03-15 06:00:00,95,100,26
2018-03-15 12:00:00,118,129,33
2018-03-15 18:00:00,128,137,45
2018-03-16 00:00:00,44,45,10
2018-03-16 06:00:00,77,79,24
2018-03-16 12:00:00,125,137,47
2018-03-16 18:00:00,122,136,20
2018-03-17 00:00:00,44,47,13
2018-03-17 06:00:00,98,105,28
2018-03-17 12:00:00,137,147,30
2018-03-17 18:00:00,145,156,26
2018-03-18 00:00:00,53,56,8
2018-03-18 06:00:00,96,100,23
2018-03-18 12:00:00,144,152,34
2018-03-18 18:00:00,152,163,16
2018-03-19 00:00:00,41,42,10
2018-03-19 06:00:00,86,100,33
2018-03-19 12:00:00,129,144,46
2018-03-19 18:00:00,130,143,28
2018-03-20 00:00:00,49,52,13
2018-03-20 06:00:00,70,74,25
2018-03-20 12:00:00,135,155,43
2018-03-20 18:00:00,128,144,33
2018-03-21 00:00:00,38,41,14
2018-03-21 06:00:00,108,115,31
2018-03-21 12:00:00,131,144,44
2018-03-21 18:00:00,108,127,37
2018-03-22 00:00:00,53,57,15
2018-03-22 06:00:00,84,89,24
2018-03-22 12:00:00,123,133,37
2018-03-22 18:00:00,144,157,32
2018-03-23 00:00:00,50,51,13
2018-03-23 06:00:00,65,72,24
2018-03-23 12:00:00,128,140,38
2018-03-23 18:00:00,125,141,32
2018-03-24 00:00:00,47,48,13
2018-03-24 06:00:00,78,85,18
2018-03-24 12:00:00,125,133,27
2018-03-24 18:00:00,130,143,28
2018-03-25 00:00:00,49,54,16
2018-03-25 06:00:00,102,109,28
2018-03-25 12:00:00,117,137,37
2018-03-25 18:00:00,133,142,26
2018-03-26 00:00:00,59,59,11
2018-03-26 06:00:00,79,85,22
2018-03-26 12:00:00,153,164,45
2018-03-26 18:00:00,129,140,36
2018-03-27 00:00:00,51,52,13
2018-03-27 06:00:00,77,84,26
2018-03-27 12:00:00,145,158,38
2018-03-27 18:00:00,124,136,32
2018-03-28 00:00:00,49,50,16
2018-03-28 06:00:00,93,97,30
2018-03-28 12:00:00,115,123,34
2018-03-28 18:00:00,110,116,23
2018-03-29 00:00:00,39,40,12
2018-03-29 06:00:00,85,97,34
2018-03-29 12:00:00,122,128,49
2018-03-29 18:00:00,111,118,19
2018-03-30 00:00:00,61,64,15
2018-03-30 06:00:00,85,91,35
2018-03-30 12:00:00,131,138,40
2018-03-30 18:00:00,114,119,30
2018-03-31 00:00:00,46,49,14
2018-03-31 06:00:00,79,81,18
2018-03-31 12:00:00,121,125,36
2018-03-31 18:00:00,125,143,19
2018-04-01 00:00:00,38,40,13
2018-04-01 06:00:00,84,90,22
2018-04-01 12:00:00,108,117,35
2018-04-01 18:00:00,140,157,32
2018-04-02 00:00:00,45,46,11
2018-04-02 06:00:00,95,108,33
2018-04-02 12:00:00,127,145,47
2018-04-02 18:00:00,124,138,31
2018-04-03 00:00:00,56,59,16
2018-04-03 06:00:00,73,76,26
2018-04-03 12:00:00,117,130,50
2018-04-03 18:00:00,152,164,39
2018-04-04 00:00:00,39,41,9
2018-04-04 06:00:00,82,86,26
2018-04-04 12:00:00,129,140,48
2018-04-04 18:00:00,139,163,33
2018-04-05 00:00:00,46,47,15
2018-04-05 06:00:00,64,74,22
2018-04-05 12:00:00,135,140,50
2018-04-05 18:00:00,122,130,31
2018-04-06 00:00:00,55,56,16
2018-04-06 06:00:00,91,98,28
2018-04-06 12:00:00,128,139,41
2018-04-06 18:00:00,129,141,34
2018-04-07 00:00:00,63,68,17
2018-04-07 06:00:00,90,97,25
2018-04-07 12:00:00,132,144,38
2018-04-07 18:00:00,135,153,32
2018-04-08 00:00:00,58,60,16
2018-04-08 06:00:00,91,93,24
2018-04-08 12:00:00,122,131,33
2018-04-08 18:00:00,139,153,27
2018-04-09 00:00:00,40,40,10
2018-04-09 06:00:00,115,119,36
2018-04-09 12:00:00,124,141,43
2018-04-09 18:00:00,137,148,33
2018-04-10 00:00:00,46,50,12
2018-04-10 06:00:00,86,90,35
2018-04-10 12:00:00,131,142,49
2018-04-10 18:00:00,148,168,43
2018-04-11 00:00:00,46,48,10
2018-04-11 06:00:00,93,99,32
2018-04-11 12:00:00,133,150,39
2018-04-11 18:00:00,126,140,36
2018-04-12 00:00:00,45,47,17
2018-04-12 06:00:00,79,84,28
2018-04-12 12:00:00,144,161,41
2018-04-12 18:00:00,108,124,23
2018-04-13 00:00:00,44,45,8
2018-04-13 06:00:00,78,86,29
2018-04-13 12:00:00,111,125,39
2018-04-13 18:00:00,129,134,27
2018-04-14 00:00:00,39,41,11
2018-04-14 06:00:00,69,72,19
2018-04-14 12:00:00,104,111,24
2018-04-14 18:00:00,134,150,30
2018-04-15 00:00:00,44,46,13
2018-04-15 06:00:00,69,74,20
2018-04-15 12:00:00,148,155,48
2018-04-15 18:00:00,133,144,30
2018-04-16 00:00:00,62,66,19
2018-04-16 06:00:00,93,101,24
2018-04-16 12:00:00,134,147,44
2018-04-16 18:00:00,109,120,34
2018-04-17 00:00:00,35,36,8
2018-04-17 06:00:00,88,94,18
2018-04-17 12:00:00,112,122,34
2018-04-17 18:00:00,115,126,31
2018-04-18 00:00:00,34,35,8
2018-04-18 06:00:00,86,90,30
2018-04-18 12:00:00,121,134,36
2018-04-18 18:00:00,127,135,28
2018-04-19 00:00:00,38,41,13
2018-04-19 06:00:00,101,104,27
2018-04-19 12:00:00,125,138,40
2018-04-19 18:00:00,117,128,22
2018-04-20 00:00:00,57,59,11
2018-04-20 06:00:00,95,102,39
2018-04-20 12:00:00,136,146,43
2018-04-20 18:00:00,136,143,28
2018-04-21 00:00:00,47,50,16
2018-04-21 06:00:00,84,86,21
2018-04-21 12:00:00,112,122,34
2018-04-21 18:00:00,159,178,44
2018-04-22 00:00:00,57,58,9
2018-04-22 06:00:00,81,85,21
2018-04-22 12:00:00,136,146,33
2018-04-22 18:00:00,138,151,33
2018-04-23 00:00:00,49,50,10
2018-04-23 06:00:00,81,82,27
2018-04-23 12:00:00,140,152,58
2018-04-23 18:00:00,146,163,31
2018-04-24 00:00:00,51,53,10
2018-04-24 06:00:00,104,106,24
2018-04-24 12:00:00,122,134,31
2018-04-24 18:00:00,133,143,34
2018-04-25 00:00:00,41,42,10
2018-04-25 06:00:00,91,97,25
2018-04-25 12:00:00,151,161,48
2018-04-25 18:00:00,127,138,32
2018-04-26 00:00:00,48,49,15
2018-04-26 06:00:00,79,83,23
2018-04-26 12:00:00,120,129,32
2018-04-26 18:00:00,138,147,27
2018-04-27 00:00:00,39,40,8
2018-04-27 06:00:00,93,99,27
2018-04-27 12:00:00,115,129,34
2018-04-27 18:00:00,134,155,29
2018-04-28 00:00:00,41,42,9
2018-04-28 06:00:00,88,90,17
2018-04-28 12:00:00,122,128,30
2018-04-28 18:00:00,154,170,30
2018-04-29 00:00:00,57,60,13
2018-04-29 06:00:00,85,93,23
2018-04-29 12:00:00,168,175,40
2018-04-29 18:00:00,152,165,40
2018-04-30 00:00:00,44,45,11
2018-04-30 06:00:00,93,106,29
2018-04-30 12:00:00,147,159,45
2018-04-30 18:00:00,147,156,32
2018-05-01 00:00:00,37,40,14
2018-05-01 06:00:00,90,94,32
2018-05-01 12:00:00,116,127,38
2018-05-01 18:00:00,133,143,18
2018-05-02 00:00:00,46,49,16
2018-05-02 06:00:00,90,100,29
2018-05-02 12:00:00,137,149,42
2018-05-02 18:00:00,145,156,34
2018-05-03 00:00:00,36,38,9
2018-05-03 06:00:00,87,94,22
2018-05-03 12:00:00,134,144,52
2018-05-03 18:00:00,137,150,38
2018-05-04 00:00:00,42,43,13
2018-05-04 06:00:00,94,99,27
2018-05-04 12:00:00,121,133,45
2018-05-04 18:00:00,133,142,27
2018-05-05 00:00:00,48,49,17
2018-05-05 06:00:00,79,86,21
2018-05-05 12:00:00,122,131,36
2018-05-05 18:00:00,149,165,33
2018-05-06 00:00:00,63,65,23
2018-05-06 06:00:00,102,108,17
2018-05-06 12:00:00,141,153,42
2018-05-06 18:00:00,165,177,37
2018-05-07 00:00:00,54,57,17
2018-05-07 06:00:00,107,116,39
2018-05-07 12:00:00,126,138,36
2018-05-07 18:00:00,143,155,37
2018-05-08 00:00:00,43,43,9
2018-05-08 06:00:00,87,94,23
2018-05-08 12:00:00,125,137,45
2018-05-08 18:00:00,168,181,40
2018-05-09 00:00:00,63,64,10
2018-05-09 06:00:00,91,96,28
2018-05-09 12:00:00,128,139,41
2018-05-09 18:00:00,130,144,27
2018-05-10 00:00:00,43,45,8
2018-05-10 06:00:00,84,89,31
2018-05-10 12:00:00,98,102,33
2018-05-10 18:00:00,126,137,37
2018-05-11 00:00:00,42,43,13
2018-05-11 06:00:00,87,94,36
2018-05-11 12:00:00,128,136,40
2018-05-11 18:00:00,145,158,36
2018-05-12 00:00:00,47,52,15
2018-05-12 06:00:00,91,93,30
2018-05-12 12:00:00,120,129,28
2018-05-12 18:00:00,146,155,27
2018-05-13 00:00:00,47,49,11
2018-05-13 06:00:00,86,93,33
2018-05-13 12:00:00,124,131,34
2018-05-13 18:00:00,154,175,33
2018-05-14 00:00:00,36,38,6
2018-05-14 06:00:00,93,103,23
2018-05-14 12:00:00,139,151,50
2018-05-14 18:00:00,153,162,36
2018-05-15 00:00:00,44,44,7
2018-05-15 06:00:00,90,94,26
2018-05-15 12:00:00,130,143,45
2018-05-15 18:00:00,131,146,44
2018-05-16 00:00:00,37,38,12
2018-05-16 06:00:00,82,86,28
2018-05-16 12:00:00,127,141,46
2018-05-16 18:00:00,157,169,28
2018-05-17 00:00:00,50,51,22
2018-05-17 06:00:00,76,81,25
2018-05-17 12:00:00,116,131,38
2018-05-17 18:00:00,136,145,45
2018-05-18 00:00:00,60,61,12
2018-05-18 06:00:00,84,87,23
2018-05-18 12:00:00,145,160,60
2018-05-18 18:00:00,123,132,29
2018-05-19 00:00:00,61,63,17
2018-05-19 06:00:00,89,101,25
2018-05-19 12:00:00,147,166,38
2018-05-19 18:00:00,134,140,34
2018-05-20 00:00:00,56,60,14
2018-05-20 06:00:00,79,82,22
2018-05-20 12:00:00,146,155,45
2018-05-20 18:00:00,143,153,30
2018-05-21 00:00:00,55,56,14
2018-05-21 06:00:00,91,94,27
2018-05-21 12:00:00,150,162,48
2018-05-21 18:00:00,151,164,36
2018-05-22 00:00:00,50,55,17
2018-05-22 06:00:00,82,92,30
2018-05-22 12:00:00,112,123,33
2018-05-22 18:00:00,141,159,46
2018-05-23 00:00:00,52,54,14
2018-05-23 06:00:00,96,105,21
2018-05-23 12:00:00,134,139,37
2018-05-23 18:00:00,143,158,33
2018-05-24 00:00:00,40,43,10
2018-05-24 06:00:00,85,89,33
2018-05-24 12:00:00,126,134,42
2018-05-24 18:00:00,144,158,32
2018-05-25 00:00:00,52,54,14
2018-05-25 06:00:00,89,93,23
2018-05-25 12:00:00,123,130,37
2018-05-25 18:00:00,150,164,28
2018-05-26 00:00:00,54,56,14
2018-05-26 06:00:00,83,84,14
2018-05-26 12:00:00,137,147,28
2018-05-26 18:00:00,124,130,26
2018-05-27 00:00:00,66,70,16
2018-05-27 06:00:00,99,104,26
2018-05-27 12:00:00,130,142,38
2018-05-27 18:00:00,153,162,27
2018-05-28 00:00:00,65,67,26
2018-05-28 06:00:00,106,111,21
2018-05-28 12:00:00,178,190,32
2018-05-28 18:00:00,190,201,28
2018-05-29 00:00:00,49,54,12
2018-05-29 06:00:00,90,97,38
2018-05-29 12:00:00,139,154,44
2018-05-29 18:00:00,132,148,33
2018-05-30 00:00:00,55,60,17
2018-05-30 06:00:00,92,97,31
2018-05-30 12:00:00,156,167,37
2018-05-30 18:00:00,132,151,27
2018-05-31 00:00:00,48,49,15
2018-05-31 06:00:00,75,83,24
2018-05-31 12:00:00,118,127,48
2018-05-31 18:00:00,143,157,35
2018-06-01 00:00:00,43,43,10
2018-06-01 06:00:00,85,90,29
2018-06-01 12:00:00,121,127,54
2018-06-01 18:00:00,116,126,29
2018-06-02 00:00:00,43,44,12
2018-06-02 06:00:00,92,100,25
2018-06-02 12:00:00,130,136,27
2018-06-02 18:00:00,146,162,40
2018-06-03 00:00:00,64,67,14
2018-06-03 06:00:00,79,83,21
2018-06-03 12:00:00,157,169,47
2018-06-03 18:00:00,151,164,39
2018-06-04 00:00:00,46,48,10
2018-06-04 06:00:00,95,102,26
2018-06-04 12:00:00,153,165,57
2018-06-04 18:00:00,133,141,42
2018-06-05 00:00:00,50,51,12
2018-06-05 06:00:00,79,86,24
2018-06-05 12:00:00,114,121,32
2018-06-05 18:00:00,129,147,34
2018-06-06 00:00:00,42,43,11
2018-06-06 06:00:00,73,78,26
2018-06-06 12:00:00,119,135,35
2018-06-06 18:00:00,129,141,34
2018-06-07 00:00:00,47,47,11
2018-06-07 06:00:00,71,79,28
2018-06-07 12:00:00,127,138,37
2018-06-07 18:00:00,120,131,24
2018-06-08 00:00:00,49,49,10
2018-06-08 06:00:00,72,76,20
2018-06-08 12:00:00,121,132,37
2018-06-08 18:00:00,123,134,44
2018-06-09 00:00:00,48,51,9
2018-06-09 06:00:00,94,101,25
2018-06-09 12:00:00,134,145,36
2018-06-09 18:00:00,140,156,29
2018-06-10 00:00:00,64,69,18
2018-06-10 06:00:00,96,102,28
2018-06-10 12:00:00,156,172,43
2018-06-10 18:00:00,154,164,39
2018-06-11 00:00:00,50,52,10
2018-06-11 06:00:00,87,95,17
2018-06-11 12:00:00,152,162,40
2018-06-11 18:00:00,147,163,40
2018-06-12 00:00:00,45,45,13
2018-06-12 06:00:00,75,80,25
2018-06-12 12:00:00,133,141,38
2018-06-12 18:00:00,125,129,32
2018-06-13 00:00:00,51,52,14
2018-06-13 06:00:00,104,119,32
2018-06-13 12:00:00,163,179,41
2018-06-13 18:00:00,146,162,35
2018-06-14 00:00:00,51,53,16
2018-06-14 06:00:00,89,94,25
2018-06-14 12:00:00,125,129,52
2018-06-14 18:00:00,126,134,30
2018-06-15 00:00:00,47,49,10
2018-06-15 06:00:00,75,77,27
2018-06-15 12:00:00,131,137,38
2018-06-15 18:00:00,123,127,22
2018-06-16 00:00:00,54,55,22
2018-06-16 06:00:00,91,94,26
2018-06-16 12:00:00,123,130,33
2018-06-16 18:00:00,139,154,31
2018-06-17 00:00:00,47,47,10
2018-06-17 06:00:00,88,92,21
2018-06-17 12:00:00,125,131,37
2018-06-17 18:00:00,146,161,34
2018-06-18 00:00:00,52,59,16
2018-06-18 06:00:00,96,107,32
2018-06-18 12:00:00,148,158,44
2018-06-18 18:00:00,147,163,33
2018-06-19 00:00:00,43,44,13
2018-06-19 06:00:00,87,98,24
2018-06-19 12:00:00,121,134,29
2018-06-19 18:00:00,121,130,29
2018-06-20 00:00:00,41,44,11
2018-06-20 06:00:00,87,89,24
2018-06-20 12:00:00,116,122,33
2018-06-20 18:00:00,136,155,29
2018-06-21 00:00:00,53,55,19
2018-06-21 06:00:00,92,98,31
2018-06-21 12:00:00,128,137,38
2018-06-21 18:00:00,129,140,24
2018-06-22 00:00:00,61,63,15
2018-06-22 06:00:00,78,89,26
2018-06-22 12:00:00,135,147,50
2018-06-22 18:00:00,139,149,35
2018-06-23 00:00:00,59,59,17
2018-06-23 06:00:00,81,85,13
2018-06-23 12:00:00,140,150,34
2018-06-23 18:00:00,137,148,25
2018-06-24 00:00:00,73,76,18
2018-06-24 06:00:00,98,103,30
2018-06-24 12:00:00,145,159,40
2018-06-24 18:00:00,138,156,28
2018-06-25 00:00:00,49,52,11
2018-06-25 06:00:00,88,93,23
2018-06-25 12:00:00,143,157,52
2018-06-25 18:00:00,151,167,33
2018-06-26 00:00:00,46,46,9
2018-06-26 06:00:00,95,100,28
2018-06-26 12:00:00,132,138,46
2018-06-26 18:00:00,144,158,33
2018-06-27 00:00:00,51,54,12
2018-06-27 06:00:00,84,90,25
2018-06-27 12:00:00,145,163,49
2018-06-27 18:00:00,148,163,33
2018-06-28 00:00:00,49,50,11
2018-06-28 06:00:00,81,84,17
2018-06-28 12:00:00,132,151,45
2018-06-28 18:00:00,148,173,37
2018-06-29 00:00:00,49,50,13
2018-06-29 06:00:00,89,93,20
2018-06-29 12:00:00,137,154,53
2018-06-29 18:00:00,133,150,27
2018-06-30 00:00:00,59,61,21
2018-06-30 06:00:00,85,93,24
2018-06-30 12:00:00,122,135,28
2018-06-30 18:00:00,154,165,40
2018-07-01 00:00:00,65,70,22
2018-07-01 06:00:00,107,111,30
2018-07-01 12:00:00,139,142,35
2018-07-01 18:00:00,145,161,39
2018-07-02 00:00:00,40,41,13
2018-07-02 06:00:00,89,93,20
2018-07-02 12:00:00,131,138,52
2018-07-02 18:00:00,132,152,40
2018-07-03 00:00:00,58,59,15
2018-07-03 06:00:00,81,83,22
